,artist_name,image_path
0,MALICE MIZER,https://upload.wikimedia.org/wikipedia/en/6/6d/Malice_Mizer_-_Gekka_No_Yasoukyoku.jpg
1,Diary of Dreams,https://upload.wikimedia.org/wikipedia/commons/3/36/Diary_of_Dreams_in_Moscow%2C_2016.jpg
2,Carpathian Forest,https://www.nordicmetal.net/wp-content/uploads/2018/01/carpathianforest.jpg
3,Moi dix Mois,https://www.jame-world.com/media/image/2012-05/4544.jpg
4,Bella Morte,https://upload.wikimedia.org/wikipedia/commons/8/8d/Andydc.jpg
5,Moonspell,https://upload.wikimedia.org/wikipedia/commons/f/f2/Moonspell_Studio_Krak%C3%B3w_2007_10.JPG
6,Marilyn Manson,https://upload.wikimedia.org/wikipedia/commons/2/29/Marilyn_Manson_-_2018153011914_2018-06-01_Rock_am_Ring_-_1D_X_MK_II_-_1212_-_B70I1283_%28cropped%29.jpg
7,DIR EN GREY,https://m.media-amazon.com/images/M/MV5BYjNiODk3ZjgtNjAzYi00MDFiLThiODgtMjVmNTU3NDdhNTE3XkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_.jpg
8,Combichrist,https://cdns-images.dzcdn.net/images/artist/26d287b538acb527d3ce2c99a044d5b1/500x500.jpg
9,Grendel,https://upload.wikimedia.org/wikipedia/commons/8/88/Stories_of_beowulf_grendel.jpg
10,Agonoize,https://upload.wikimedia.org/wikipedia/commons/7/7b/Agonoize_Amphi.JPG
,artist_name,image_path
11,Behemoth,https://static.wikia.nocookie.net/finalfantasy/images/9/9e/Type-0_Behemoth_from_FFVII_Remake_render.png/revision/latest?cb=20200519162227
12,Hocico,https://yt3.ggpht.com/mWibmQZHBKrACYb_8i4hWWFISuJ0zpNAstrocf87feNqs_jzHYSyKBV9PwVehIfSXFDrugha=s900-c-k-c0x00ffffff-no-rj
13,Dimmu Borgir,https://i.scdn.co/image/ab6761610000e5eb2e21b46a6744443a90297441
14,London After Midnight,https://upload.wikimedia.org/wikipedia/commons/0/06/London_After_Midnight_Poster_1927_MGM.jpg
15,Psyclon Nine,https://lastfm.freetls.fastly.net/i/u/ar0/381ca96ea0504183bbf1e02f5eca9238.jpg
16,The Crüxshadows,https://upload.wikimedia.org/wikipedia/commons/8/80/The_Cr%C3%BCxshadows_08_%287760399456%29.jpg
17,:wumpscut:,https://f4.bcbits.com/img/0011257652_10.jpg
18,Limbonic Art,https://www.angrymetalguy.com/wp-content/uploads/2019/04/549340-768x768.jpg
19,Artista sconosciuto,https://i.scdn.co/image/ab67616d0000b27395c90f9bdfbab332eefe3ff0
20,xotox,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/20160724_K%C3%B6ln_Amphi_XotoX_0025.jpg/250px-20160724_K%C3%B6ln_Amphi_XotoX_0025.jpg
21,The Kovenant,https://www.nordicmetal.net/wp-content/uploads/2018/01/The-Kovenant.jpg
22,Feindflug,https://upload.wikimedia.org/wikipedia/commons/d/d0/Feindflug_-_Amphi_Festival_2011.jpg
23,Cradle of Filth,https://townsquare.media/site/366/files/2021/09/attachment-cradle_of_filth_2021.jpg
24,Tamtrum,https://upload.wikimedia.org/wikipedia/commons/8/80/Tamtrum_15.jpg
25,Laibach,https://upload.wikimedia.org/wikipedia/commons/e/e6/LAIBACH_Press_Photo_2011.jpg
26,Gorgoroth,https://upload.wikimedia.org/wikipedia/commons/3/3b/Gorgoroth_2011_in_Rostock.jpg
27,And One,https://i.ytimg.com/vi/7ziggF0f27o/hqdefault.jpg
28,Amduscia,https://i.ytimg.com/vi/mejGYHmgAIk/mqdefault.jpg
29,Covenant,https://enduringword.com/wp-content/uploads/2019/08/lightstock_3939_medium_david-e1566179807448.jpg
30,Icon of Coil,https://i.ytimg.com/vi/Xvf_R0I-LHs/maxresdefault.jpg
31,KMFDM,https://media.timeout.com/images/100632789/750/422/image.jpg
32,Funker Vogt,https://i.ytimg.com/vi/xpjMWld-Yyc/maxresdefault.jpg33
33,Dawn of Ashes,"https://static.wixstatic.com/media/300571_fa6a853ccbe940cba601339152159c51~mv2.jpg/v1/fill/w_940,h_400,al_c,q_90/300571_fa6a853ccbe940cba601339152159c51~mv2.jpg"
34,Sopor Aeternus & The Ensemble of Shadows,https://i.discogs.com/1z1RyJOqnTw6n-YmxG1q3GPqVJvrxXLIvCPv4zdofq8/rs:fit/g:sm/q:90/h:600/w:404/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIzNDg4/NS0xMTkwMzAyNjI0/LmpwZWc.jpeg
35,The Faint,https://upload.wikimedia.org/wikipedia/commons/f/fe/TheFaintLive2008-01.jpg
36,God Module,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/God_Module.jpg/1200px-God_Module.jpg37,Noisuf-X,https://i.scdn.co/image/8566c5a97a70cdc00c4a79fdb6504f38eaa0b1ed
38,Das Ich,https://upload.wikimedia.org/wikipedia/commons/d/db/Dasich.jpg
39,Mindless Self Indulgence,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRm95CnHT_IQH8lc2lHBdFLwOxJZeZU5zp06g&usqp=CAU
40,Pyotr Ilyich Tchaikovsky,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnTCf8ExTai7mgRP597MZKtM3MNWEHRS9IsA&usqp=CAU
